Prox,Proy,Pany,Excay,Bispy,Tripy,Paly
424.5490845,5354.099609,3832.299805,4111.900391,2221.800781,6757.700195,7427.5
425.3070823,5415.099609,3781.399414,4174.800781,2353.001953,6786.100586,7482.400146
426.0649721,5436.699219,3758.5,4132.900391,2292.001953,6806.800293,7468.200195
426.8227538,5462.699219,3818,4157.600586,2378.601563,6828.200195,7488.600098
427.5804274,5469.399414,3986.199219,4193.700195,2469.300781,6814.800293,7488.100098
428.3379931,5572.699219,3919.399414,4190.700195,2516.601563,6841.200195,7475
429.0954508,5432.199219,3914.599609,4226.100586,2426.800781,6845.100586,7516.5
429.8528005,5596.699219,3976.299805,4216.600586,2482.201172,6869.900391,7501.900146
430.6100423,5636.798828,4003.299805,4254.800781,2523.902344,6830.500488,7485
431.3671762,5550.699219,4032.299805,4315.5,2567.201172,6862.800293,7493
432.1242022,5501.399414,4006.5,4248.200195,2552.402344,6840.700195,7491
432.8811204,5531.999023,3939.199219,4313.800781,2642.800781,6821.000488,7468.600098
433.6379308,5531.199219,3951,4280,2667.300781,6815.200195,7475.700195
434.3946335,5551.699219,3963.899414,4246.300781,2572.001953,6863.300293,7466.900146
435.1512283,5624.099609,3892.099609,4261.200195,2446.201172,6855.800293,7456.5
435.9077155,5537.199219,3954.799805,4277.800781,2505.201172,6822.000488,7427.800049
436.6640949,5519.099609,3948.399414,4274.300781,2588.501953,6840.900391,7456.600098
437.4203667,5482.199219,3913.199219,4244.200195,2486.201172,6806.200195,7439.700195
438.1765308,5557.499023,3907.899414,4267.600586,2508.701172,6803.900391,7424.200195
438.9325873,5490.298828,3899.199219,4236.600586,2465.501953,6762.200195,7440.200195
439.6885362,5459.999023,3867.799805,4220.300781,2411.101563,6798.500488,7434.100098
440.4443776,5605.099609,3893.699219,4229.700195,2447.601563,6787.500488,7421.5
441.2001114,5498.699219,3987.699219,4250.900391,2630.601563,6808.600586,7421.300049
441.9557377,5534.298828,3943.5,4290.200195,2655.001953,6801.100586,7441.100098
442.7112566,5607.999023,3984.599609,4225.700195,2704.800781,6831.200195,7413.800049
443.466668,5621.199219,3965.299805,4295.5,2605.101563,6808.700195,7442.200195
444.221972,5545.199219,3986.299805,4283.100586,2471.902344,6794.600586,7414.300049
444.9771686,5451.798828,4022.5,4286.100586,2654.001953,6806.600586,7427.600098
445.7322578,5451.699219,3973.299805,4240.900391,2575.800781,6795.900391,7429.200195
446.4872397,5594.899414,4057.699219,4249.200195,2531.902344,6826.700195,7426.200195
447.2421142,5482.099609,3934.899414,4233.200195,2575.300781,6800.300293,7410.300049
447.9968815,5538.899414,3948.599609,4258,2615.501953,6791.100586,7432.5
448.7515416,5628.298828,3987.399414,4297.900391,2645.402344,6790.200195,7417.100098
449.5060944,5662.599609,4040.799805,4390.200195,2713.800781,6858.100586,7404.800049
450.26054,5615.298828,4035.5,4312.700195,2769.701172,6836.900391,7424.600098
451.0148785,5641.399414,4067.899414,4363.400391,2650.800781,6840.100586,7419.300049
451.7691098,5569.499023,4050.5,4391.700195,2710.601563,6826.100586,7427.700195
452.523234,5558.399414,4029.5,4231.100586,2684.402344,6815.400391,7411.800049
453.2772511,5591.499023,3985.799805,4330.5,2636.601563,6806.000488,7415.800049
454.0311612,5639.899414,4066.699219,4401.100586,2655.501953,6815.600586,7416
454.7849642,5619.798828,4046.799805,4396.800781,2677.601563,6828.300293,7402.800049
455.5386602,5655.399414,4087.099609,4313.400391,2661.701172,6802.900391,7412
456.2922492,5606.298828,4060.799805,4323.200195,2803.300781,6829.100586,7398.300049
457.0457313,5610.798828,4076.699219,4418.600586,2663.800781,6809.500488,7410.300049
457.7991065,5665.899414,4103,4310.700195,2672.101563,6835.400391,7408.100098
458.5523748,5555.298828,4003.199219,4317.5,2649.101563,6782.300293,7360.400146
459.3055362,5544.599609,3892.899414,4324,2500.001953,6768.600586,7379.5
460.0585908,5480.599609,3954.199219,4238.100586,2577.201172,6751.200195,7386.700195
460.8115385,5447.199219,3971,4244.300781,2570.402344,6735.200195,7394.800049
461.5643795,5501.798828,3958.199219,4258,2600.601563,6789.900391,7383.800049
462.3171137,5508.999023,3912.299805,4184.900391,2570.402344,6772.500488,7370.5
463.0697412,5516.699219,3936.299805,4246.900391,2617.001953,6752.800293,7364.200195
463.822262,5496.599609,3970.199219,4309.800781,2572.800781,6754.500488,7381.800049
464.5746762,5475.099609,3922.5,4217,2565.201172,6791.700195,7371.700195
465.3269837,5572.099609,3972,4233.900391,2539.402344,6775.100586,7374.200195
466.0791845,5505.999023,3993.099609,4310.800781,2667.300781,6731.600586,7378.200195
466.8312788,5584.399414,4070.799805,4387.300781,2743.101563,6816.900391,7365.600098
467.5832665,5522.399414,4072.5,4310.300781,2739.800781,6816.900391,7368.800049
468.3351477,5644.399414,4059.099609,4379.600586,2739.402344,6844.900391,7364.200195
469.0869224,5630.599609,4109.599609,4366.400391,2758.701172,6796.300293,7362.400146
469.8385906,5599.599609,4019.399414,4298.800781,2727.701172,6765.100586,7383
470.5901524,5628.999023,4034.5,4327.800781,2739.001953,6818.400391,7367.800049
471.3416077,5599.199219,4060.599609,4322.100586,2760.701172,6762.700195,7359.200195
