Sample name,Biological/Abiotic,Scientific name,Name,Location,Peak,FWHM,Age,Modern/Fossil/Mineral
Chondricthyes,Biological,Carcharodon carcharias,Great White Shark,Dentin,962,12.3,0,Modern
Mammalia,Biological,Globicephala melas,Pilot whale,Dentin,962.3,15.8,0,Modern
Mammalia,Biological,Equus caballus,Horse,Dentin,961.1,15.4,0,Modern
Mammalia,Biological,Homo sapiens,Human,Dentin,961.1,15.9,0,Modern
Mammalia,Biological,Alces alces,Moose,Dentin,961.1,15,0,Modern
Reptilia,Biological,Varanus sp.,Asian water monitor,Dentin,961.4,17.6,0,Modern
1a,Biological,Mammutidae gen. et sp. indet.,Mastodon,Dentin,964.7,10.6,27.3,Fossil
2a,Biological,Carcharodon angustidens (OU22261),Shark,Dentin,965.5,9.9,27.3,Fossil
3a,Biological,Kekenodontidae gen. et sp. indet. (OU22180),Toothed whale,Dentin,965.1,8.9,27.3,Fossil
3b,Biological,Kekenodontidae gen. et sp. indet. (OU22023),Toothed whale,Dentin,966,9.5,27.3,Fossil
3c,Biological,Kekenodontidae gen. et sp. indet. (OU22072),Toothed whale,Dentin,967.6,10,27.3,Fossil
3d,Biological,Kekenodontidae gen. et sp. indet. (OU22108),Toothed whale,Dentin,965.8,12.5,27.3,Fossil
4a,Biological,Myliobatis sp.,Eagle ray,Dentin,965,12,43,Fossil
4b,Biological,Myliobatis sp.,Eagle ray,Dentin,967.1,11.8,43,Fossil
5a,Biological,Striatolamia sp.,Shark,Dentin,964.7,11.8,43,Fossil
5b,Biological,Striatolamia sp.,Shark,Dentin,965.7,11.6,43,Fossil
5c,Biological,Striatolamia sp.,Shark,Dentin,966.5,11.8,43,Fossil
6a,Biological,Mosasauridae gen. et sp. indet.,Mosasaur,Dentin,966.4,9.3,70.6,Fossil
6b,Biological,Mosasauridae gen. et sp. indet.,Mosasaur,Dentin,965,8.7,70.6,Fossil
Mammalia,Biological,Globicephala melas,Pilot whale,Enamel,961.1,13.5,0,Modern
Mammalia,Biological,Ceratotherium simum,White rino,Enamel,960.9,13,0,Modern
1a,Biological,Mammutidae gen. et sp. indet.,Mastodon,Enamel,962,11.7,27.3,Fossil
3a,Biological,Kekenodontidae gen. et sp. indet. (OU22180),Toothed whale,Enamel,963.4,10.4,27.3,Fossil
3b,Biological,Kekenodontidae gen. et sp. indet. (OU22023),Toothed whale,Enamel,964.3,11,27.3,Fossil
3c,Biological,Kekenodontidae gen. et sp. indet. (OU22072),Toothed whale,Enamel,965,12.1,27.3,Fossil
3d,Biological,Kekenodontidae gen. et sp. indet. (OU22108),Toothed whale,Enamel,965,13,27.3,Fossil
6a,Biological,Mosasauridae gen. et sp. indet.,Mosasaur,Enamel,966,9.9,70.6,Fossil
6b,Biological,Mosasauridae gen. et sp. indet.,Mosasaur,Enamel,965.1,9,70.6,Fossil
Chondricthyes,Biological,Carcharodon carcharias,Great White Shark,Enameloid,964.1,10.5,0,Modern
2a,Biological,Carcharodon angustidens (OU22261),Shark,Enameloid,965.5,9.8,27.3,Fossil
5a,Biological,Striatolamia sp.,Shark,Enameloid,964.7,8.8,43,Fossil
5b,Biological,Striatolamia sp.,Shark,Enameloid,965.1,8.3,43,Fossil
5c,Biological,Striatolamia sp.,Shark,Enameloid,966.6,10.3,43,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.069,4.83291,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.952,5.01079,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.911,5.33654,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.915,5.67241,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.751,5.15537,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.049,4.90608,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.912,4.91392,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.948,5.16958,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.926,5.12392,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.004,4.96203,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.081,5.11763,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.906,4.96041,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.997,4.92899,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.079,4.78346,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.139,4.62415,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.106,4.6555,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.178,4.73782,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.147,4.47944,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.167,4.57111,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.246,4.47621,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.974,5.43906,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.038,4.72146,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.957,4.84001,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.263,4.41648,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.911,5.59996,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.672,4.95253,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.856,4.36247,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),964.044,4.31706,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.862,4.55725,,Fossil
,,,Conodont,Conodont tissue (Shirley et. al.),963.962,4.28101,,Fossil
