Author,Peak,FWHM
Rantitsch et al. 2020,964.6783493,4.026694045
Rantitsch et al. 2020,964.5833804,3.854209446
Rantitsch et al. 2020,964.5969474,4.486652977
Rantitsch et al. 2020,964.5426795,4.630390144
Rantitsch et al. 2020,964.7326173,4.716632444
Rantitsch et al. 2020,964.7461843,4.515400411
Rantitsch et al. 2020,964.1560204,4.041067762
Rantitsch et al. 2020,964.1899378,4.357289528
Rantitsch et al. 2020,963.9660825,4.371663244
Rantitsch et al. 2020,964.1085359,4.386036961
Rantitsch et al. 2020,964.1288864,4.60164271
Rantitsch et al. 2020,964.2916902,4.501026694
Rantitsch et al. 2020,964.2442058,4.716632444
Rantitsch et al. 2020,964.3663086,4.874743326
Rantitsch et al. 2020,964.0474845,4.90349076
Rantitsch et al. 2020,963.9457321,4.64476386
Rantitsch et al. 2020,963.9050311,4.960985626
Rantitsch et al. 2020,964.013567,5.262833676
Rantitsch et al. 2020,963.8778971,5.435318275
Rantitsch et al. 2020,963.6879593,5.234086242
Rantitsch et al. 2020,963.5726399,5.133470226
Rantitsch et al. 2020,963.6879593,4.60164271
Rantitsch et al. 2020,963.3216507,4.86036961
Rantitsch et al. 2020,963.3080837,5.147843943
Rantitsch et al. 2020,963.1588468,5.234086242
Rantitsch et al. 2020,963.2809497,5.550308008
Rantitsch et al. 2020,963.1588468,5.866529774
Rantitsch et al. 2020,963.3487846,5.981519507
Rantitsch et al. 2020,963.0638779,5.809034908
Rantitsch et al. 2020,963.0367439,5.320328542
Rantitsch et al. 2020,963.0231769,5.119096509
Rantitsch et al. 2020,962.9010741,4.745379877
Rantitsch et al. 2020,962.7654042,4.917864476
Rantitsch et al. 2020,962.5618994,4.745379877
Rantitsch et al. 2020,962.5483324,4.94661191
Rantitsch et al. 2020,962.4669305,5.262833676
Rantitsch et al. 2020,962.7247032,6.211498973
Rantitsch et al. 2020,963.0231769,6.18275154
Rantitsch et al. 2020,963.0231769,6.35523614
Rantitsch et al. 2020,963.1045789,6.26899384
Rantitsch et al. 2020,964.2577728,5.924024641
Rantitsch et al. 2020,963.0638779,4.055441478
Rantitsch et al. 2020,962.968909,4.213552361
Rantitsch et al. 2020,953.7501413,15.71252567
Rantitsch et al. 2020,955.133974,15.62628337
Rantitsch et al. 2020,955.0864895,14.86447639
Rantitsch et al. 2020,955.4256642,14.80698152
Rantitsch et al. 2020,954.7269644,14.5338809
Rantitsch et al. 2020,954.9304692,13.65708419
Rantitsch et al. 2020,955.3781798,13.58521561
Rantitsch et al. 2020,955.5749011,13.18275154
Rantitsch et al. 2020,956.1175806,13.97330595
Rantitsch et al. 2020,956.4838892,14.37577002
Rantitsch et al. 2020,956.6059921,12.96714579
Rantitsch et al. 2020,956.9044658,13.16837782
Rantitsch et al. 2020,957.5285472,13.77207392
Rantitsch et al. 2020,957.3589599,12.86652977
Rantitsch et al. 2020,957.3250424,12.47843943
Rantitsch et al. 2020,958.0305257,12.42094456
Rantitsch et al. 2020,958.0847937,12.27720739
Rantitsch et al. 2020,958.2611645,12.93839836
Rantitsch et al. 2020,958.4171849,13.11088296
Rantitsch et al. 2020,959.0209158,13.12525667
Rantitsch et al. 2020,957.8677219,11.84599589
Rantitsch et al. 2020,957.8812889,11.01232033
Rantitsch et al. 2020,958.0576597,11.29979466
Rantitsch et al. 2020,958.2204635,11.19917864
Rantitsch et al. 2020,958.8377614,12.21971253
Rantitsch et al. 2020,958.790277,12.01848049
Rantitsch et al. 2020,958.7563595,11.60164271
Rantitsch et al. 2020,958.7292256,11.19917864
Rantitsch et al. 2020,958.6613906,11.0698152
Rantitsch et al. 2020,958.7292256,10.95482546
Rantitsch et al. 2020,958.4646693,10.8973306
Rantitsch et al. 2020,958.5325042,10.40862423
Rantitsch et al. 2020,958.6003392,9.919917864
Rantitsch et al. 2020,958.763143,9.546201232
Rantitsch et al. 2020,959.0751837,9.919917864
Rantitsch et al. 2020,959.0751837,10.4661191
Rantitsch et al. 2020,959.0073488,11.0698152
Rantitsch et al. 2020,959.0073488,11.44353183
Rantitsch et al. 2020,959.0887507,11.84599589
Rantitsch et al. 2020,959.1023177,11.98973306
Rantitsch et al. 2020,959.3329565,11.81724846
Rantitsch et al. 2020,959.5093273,12.10472279
Rantitsch et al. 2020,959.3193895,11.38603696
Rantitsch et al. 2020,959.2651215,10.58110883
Rantitsch et al. 2020,959.2922555,10.32238193
Rantitsch et al. 2020,959.3736574,10.1211499
Rantitsch et al. 2020,959.5364613,10.2073922
Rantitsch et al. 2020,959.3736574,9.718685832
Rantitsch et al. 2020,959.4821933,9.574948665
Rantitsch et al. 2020,959.7671001,9.833675565
Rantitsch et al. 2020,959.794234,9.661190965
Rantitsch et al. 2020,959.8959864,9.488706366
Rantitsch et al. 2020,959.9163369,9.833675565
Rantitsch et al. 2020,960.1605427,11.32854209
Rantitsch et al. 2020,960.3672752,10.76955313
Rantitsch et al. 2020,960.6180795,11.16235339
Rantitsch et al. 2020,960.4763206,10.39985878
Rantitsch et al. 2020,960.6998636,10.1687998
Rantitsch et al. 2020,960.6453409,9.914634932
Rantitsch et al. 2020,960.525391,9.868423137
Rantitsch et al. 2020,960.607175,9.648917112
Rantitsch et al. 2020,960.4381547,9.544940574
Rantitsch et al. 2020,960.2909435,9.290775703
Rantitsch et al. 2020,959.9583551,8.747787115
Rantitsch et al. 2020,960.1273754,8.52828109
Rantitsch et al. 2020,960.4217979,8.978846089
Rantitsch et al. 2020,960.443607,9.163693268
Rantitsch et al. 2020,960.6453409,9.105928524
Rantitsch et al. 2020,960.7271249,8.52828109
Rantitsch et al. 2020,960.8034567,8.678469423
Rantitsch et al. 2020,960.912502,8.666916474
Rantitsch et al. 2020,960.7761953,7.927527759
Rantitsch et al. 2020,960.6780545,7.56938635
Rantitsch et al. 2020,961.0051906,7.719574682
Rantitsch et al. 2020,961.0106428,9.810658394
Rantitsch et al. 2020,960.8198135,10.18035275
Rantitsch et al. 2020,961.1305927,9.487175831
Rantitsch et al. 2020,961.07607,10.95440031
Rantitsch et al. 2020,961.1196882,11.18545929
Rantitsch et al. 2020,961.5067992,9.452516985
Rantitsch et al. 2020,961.7357944,9.810658394
Rantitsch et al. 2020,961.8175785,9.082822627
Rantitsch et al. 2020,961.9048147,9.209905062
Rantitsch et al. 2020,961.6758195,8.378092757
Rantitsch et al. 2020,961.3868493,8.274116219
Rantitsch et al. 2020,961.6540104,7.869763015
Rantitsch et al. 2020,961.8830057,8.285669168
Rantitsch et al. 2020,962.1065487,7.673362888
Rantitsch et al. 2020,961.1524018,7.234350838
Rantitsch et al. 2020,960.465416,7.03795071
Rantitsch et al. 2020,961.217829,6.991738916
Rantitsch et al. 2020,961.5776787,7.061056608
Rantitsch et al. 2020,961.6758195,7.349880325
Rantitsch et al. 2020,961.8012217,7.453856863
Rantitsch et al. 2020,961.7848649,7.234350838
Rantitsch et al. 2020,961.6758195,7.095715454
Rantitsch et al. 2020,961.7412467,6.922421223
Rantitsch et al. 2020,961.6485582,6.772232891
Rantitsch et al. 2020,961.9865988,7.21124494
Rantitsch et al. 2020,961.9429806,6.968633018
Rantitsch et al. 2020,961.9157193,6.760679942
Rantitsch et al. 2020,961.7357944,6.275456097
Rantitsch et al. 2020,962.1065487,6.494962122
