10 points;20 points;30 points;40 points;50 points;60 points;70 points;80 points;90 points;100 points;125 points;150 points;175 points;200 points;400 points;600 points;800 points;1000 points;1500 points
41.52491094;16.76990158;49.29159206;39.99297179;47.47935555;41.77487294;19.22878622;47.67955976;47.19826237;41.17371535;41.62601188;38.75600991;48.33765019;37.62563564;20.96355604;15.41345566;41.10436327;;
39.0106256;25.28830516;41.56443685;35.64405803;38.21198857;26.42933244;38.48245819;51.62952573;45.08205456;48.46004653;44.15900424;40.36029016;39.93338681;43.00649902;39.81406332;22.97078037;45.73107703;;
22.45071366;38.10248565;29.14132703;21.48547274;11.79908421;30.47641167;35.61921679;40.72438675;12.60165988;41.78449709;44.99707203;44.43038735;24.09791326;37.20148478;36.01553288;20.44357921;23.90232426;;
34.28566808;42.67493699;59.10092389;46.58176576;30.30564761;27.6468933;33.56719898;33.36880945;42.72038526;46.12661594;27.57916638;46.87569377;53.14034401;15.59279926;36.70052049;15.73602427;33.38456357;;
46.04078228;38.5533447;14.98596318;9.383026298;39.80128836;43.04896356;26.1063564;21.71066163;47.82383959;41.68219746;37.01569003;13.11265322;33.88926356;58.88595458;27.61263575;7.955529324;27.43075047;;
34.21349708;47.0354165;17.22653153;54.74820124;41.47290369;11.28634217;44.60037124;41.00701204;44.84380984;40.8641464;32.06085293;30.42480422;34.26148584;35.21672229;41.04195566;41.27020831;43.5971998;;
41.77851695;34.35204904;40.86516498;42.95440326;39.98965161;32.53679933;31.2875251;44.89867155;32.18727371;31.65469758;15.92610763;33.87959156;41.52717825;38.57462555;44.91243294;15.50540608;19.14167513;;
23.85374655;34.45718003;34.46625935;39.62384643;21.18443926;48.10393335;26.55825646;25.74697096;31.88931287;26.61290128;54.37834923;46.42210377;33.08145427;44.9315331;92.24284886;21.46919762;25.76984776;;
25.97663784;47.13742733;35.84521102;31.61744283;47.71506883;31.48786574;42.93059924;42.89409355;31.76185671;38.248261;48.21288639;42.92412236;46.44099018;31.10917426;15.1224236;50.85697735;40.6371312;;
45.75792945;47.45471781;43.95880551;7.906554267;41.31349762;43.32292751;46.32990972;40.76879291;22.39231404;42.43626107;25.5023746;47.30851683;20.31995129;33.08145427;17.58386689;25.46943285;41.65637376;;
