Pro. mulleri (TI),Pro. mulleri (area µm2),W. excavata (TI),W. excavata (area µm2),B. cf. aculeatus (TI),B. cf. aculeatus (area µm2),Pan. equicostatus (TI),Pan. equicostatus  (area µm2),T. gracilis (TI),T. gracilis (area µm2),Palmatolepis sp. (TI),Palmatolepis sp. (area µm2)
33.6,950.0,66.0,5627.0,55.7,786.0,21.7,4618.0,78.2,225.0,89.9,484.0
38.3,477.0,60.8,9187.0,54.2,1739.0,28.7,7177.0,77.1,196.0,89.8,324.0
33.0,838.0,67.2,442.0,53.8,3029.0,21.8,441.0,73.7,529.0,89.4,361.0
20.6,2704.0,56.0,576.0,53.0,1296.0,32.6,841.0,71.4,784.0,89.2,144.0
15.4,1849.0,55.9,8464.0,51.3,3481.0,32.6,841.0,69.8,1369.0,88.2,1225.0
14.8,1600.0,52.5,529.0,48.6,4356.0,32.3,961.0,68.8,225.0,87.1,784.0
14.3,1156.0,50.8,1444.0,48.5,1764.0,32.1,961.0,68.7,1089.0,83.9,441.0
13.8,4356.0,49.7,1089.0,48.4,784.0,32.0,841.0,67.4,2025.0,80.2,841.0
13.6,5476.0,49.2,2025.0,48.3,625.0,31.5,1089.0,67.3,1764.0,77.7,144.0
13.5,729.0,48.1,2500.0,47.2,441.0,31.1,676.0,63.0,2401.0,77.4,784.0
13.0,1369.0,48.0,1444.0,44.6,2025.0,28.9,484.0,62.5,1369.0,75.1,961.0
12.6,1681.0,47.6,3249.0,43.7,2401.0,28.3,1156.0,60.6,121.0,73.8,4761.0
12.6,1156.0,47.5,1225.0,43.5,3249.0,28.2,625.0,60.3,324.0,73.7,1156.0
12.6,900.0,46.3,3136.0,42.2,5184.0,27.8,529.0,57.1,529.0,73.4,256.0
12.2,3969.0,44.7,1521.0,40.5,5329.0,27.7,484.0,57.0,1600.0,73.3,4356.0
11.8,5476.0,44.7,1521.0,37.1,1936.0,26.8,1296.0,56.5,361.0,72.2,324.0
11.3,2809.0,41.9,2209.0,36.2,5041.0,26.6,841.0,56.3,121.0,72.1,4096.0
11.2,1521.0,40.8,961.0,34.3,2401.0,26.2,841.0,55.4,256.0,71.5,2601.0
10.5,5184.0,40.5,1225.0,33.5,6889.0,25.6,1089.0,54.2,121.0,71.1,1089.0
10.5,3136.0,39.7,576.0,32.4,8281.0,25.5,961.0,53.2,256.0,68.5,2500.0
10.0,2025.0,39.0,6084.0,31.2,1849.0,24.8,1156.0,52.4,4225.0,66.9,2809.0
9.9,1444.0,38.5,6084.0,31.1,1600.0,24.4,529.0,51.7,4225.0,66.8,6561.0
9.8,9409.0,37.7,3364.0,30.8,7056.0,24.0,441.0,51.5,324.0,66.3,3844.0
9.8,2209.0,37.3,2116.0,30.8,7056.0,23.9,576.0,51.2,3844.0,65.9,169.0
9.7,3600.0,36.8,5184.0,29.7,7396.0,23.4,1156.0,50.7,3481.0,63.0,5625.0
9.6,4624.0,36.1,6241.0,29.6,8649.0,23.2,1296.0,50.3,4761.0,61.6,4489.0
9.6,6241.0,32.0,1089.0,27.4,3364.0,23.1,1444.0,50.2,5184.0,59.8,7396.0
9.2,3025.0,30.8,3844.0,26.1,6241.0,23.1,784.0,48.1,4761.0,57.2,4096.0
9.1,9801.0,26.3,3025.0,26.0,3364.0,22.5,1764.0,47.1,3721.0,57.0,4225.0
9.0,3600.0,25.9,529.0,23.8,5476.0,22.5,1225.0,46.4,6724.0,55.9,8100.0
9.0,1444.0,25.8,9409.0,23.3,1936.0,22.3,1156.0,46.2,2209.0,55.4,3969.0
8.7,5929.0,25.3,10000.0,23.0,961.0,22.3,441.0,45.9,3364.0,55.0,7744.0
8.4,4225.0,24.6,5476.0,22.1,2401.0,22.2,484.0,44.6,2209.0,54.7,1296.0
8.3,1369.0,24.6,8836.0,21.2,625.0,21.8,1600.0,44.5,1156.0,54.2,7225.0
8.2,2704.0,24.1,3600.0,20.9,900.0,21.1,529.0,44.3,1156.0,53.7,1444.0
8.1,3600.0,22.6,1089.0,20.6,1521.0,19.5,1089.0,43.8,1936.0,51.4,8464.0
8.0,9025.0,22.5,6241.0,20.4,1156.0,19.3,841.0,43.8,625.0,50.5,1849.0
8.0,1521.0,22.1,2209.0,19.4,5041.0,19.3,1024.0,43.7,2401.0,50.2,3721.0
8.0,9216.0,19.8,8464.0,19.3,784.0,18.9,1089.0,41.8,784.0,49.8,3249.0
8.0,4225.0,19.2,1600.0,18.4,441.0,18.8,1156.0,38.6,1296.0,48.5,3364.0
7.8,6724.0,16.5,1296.0,18.0,1936.0,17.8,1089.0,38.5,2209.0,48.3,484.0
7.8,3364.0,15.3,7056.0,17.6,625.0,17.3,961.0,38.5,1600.0,42.9,1764.0
2.2,725.0,12.8,9652.0,13.4,2313.0,7.2,8980.0,38.2,400.0,38.2,784.0
3.2,835.0,14.2,9187.0,14.3,2119.0,7.6,7714.0,37.5,121.0,37.0,1936.0
2.7,838.0,13.8,1540.0,16.8,1298.0,7.7,7922.0,37.2,169.0,35.9,1444.0
