Taxa;T-index;M-index;Area;pfT-index (C);pfT-index (A)
Pro.muelleri;12.91072051;0.552859591;30;3.102811866;1.664328721
Pro.muelleri;10.69855137;0.58442397;49;3.144652541;1.580686126
Pro.muelleri;10.10688576;0.530758022;50;2.972332529;1.537154304
Pro.muelleri;16.12311172;0.628532255;47;3.316174667;1.682023225
Pro.muelleri;25.22315581;0.72588243;27;3.953704797;1.920648176
Pro.muelleri;12.81781184;0.459097306;17;2.696416975;1.734122497
Pro.muelleri;8.344475278;0.536779648;26;2.597291835;1.492799593
Pro.muelleri;11.16605471;0.573497668;16;2.908916452;1.574976748
Pro.muelleri;11.70197837;0.577223864;41;3.106015619;1.610121681
Pro.muelleri;32.63118361;0.680419356;11;3.994827403;2.166842816
Pro.muelleri;10.36052761;0.559605479;43;3.082206084;1.5513475
Pro.muelleri;12.27552016;0.602261075;47;3.262738733;1.673146609
Pro.muelleri;9.966296684;0.230608362;13;2.504119626;1.381817098
Pro.muelleri;8.660212915;0.248783864;11;2.433286758;1.403465068
Pro.muelleri;9.729258237;0.539479811;49;2.992327911;1.534610911
Pro.muelleri;5.779094239;0.165421381;19;1.839009368;1.235114367
Pro.muelleri;11.10822223;0.611968771;30;2.968722856;1.601518012
Pro.muelleri;5.235657904;0.164560418;18;1.9462803;1.250321648
Pro.muelleri;16.4208589;0.660284419;33;3.55527034;1.749461324
Pro.muelleri;14.58058736;0.618108156;21;3.321726313;1.714314668
Pro.muelleri;5.708529808;0.186640239;40;1.945409736;1.244035577
Pro.muelleri;20.38749391;0.525153407;49;3.593426483;1.817624071
Pro.muelleri;20.8817016;0.577487061;28;3.639502452;1.781353826
Pro.muelleri;15.04113326;0.627582018;38;3.375938475;1.77544146
Pro.muelleri;16.06874514;0.608185764;20;3.306319799;1.706233227
Pro.muelleri;14.95713;0.571644654;28;3.062697739;1.732874145
Pro.muelleri;19.28484552;0.562091117;12;3.095285202;1.776592182
Pro.muelleri;9.515307331;0.587834975;43;2.822726679;1.534615758
Pro.muelleri;8.089795136;0.432671668;40;2.580421771;1.475302297
Pro.muelleri;5.448147761;0.243798868;35;2.104791409;1.294698814
Pro.muelleri;8.892338846;0.504603229;48;2.862329322;1.490398174
Pro.muelleri;42.62243408;0.561152089;13;3.738822313;2.271053412
Pro.muelleri;10.76183595;0.557539762;39;3.09678715;1.553505847
Pro.muelleri;11.50626155;0.567887466;48;3.04753602;1.571246299
Pro.muelleri;33.10290833;0.738524688;18;4.006655468;2.262853974
Pro.muelleri;11.36540086;0.584234986;24;3.144720414;1.577177002
Pro.muelleri;16.45729357;0.564701619;19;3.180172995;1.679548168
Pro.muelleri;12.19397782;0.573522013;41;3.070914201;1.6294828
Pro.muelleri;5.931297058;0.195070168;38;1.972572366;1.258523326
Pro.muelleri;11.40528374;0.569600934;26;3.088302605;1.587218295
Pro.muelleri;22.08682674;0.530627183;23;3.302277302;1.844525778
Pro.muelleri;8.219296719;0.22619927;20;2.328661917;1.402932083
Pro.muelleri;15.20827112;0.65086334;39;3.428179917;1.728433899
Pro.muelleri;40.2728741;0.56981602;13;3.705429586;2.277092859
Pro.muelleri;9.619341054;0.497305095;16;2.865461567;1.521081423
Pro.muelleri;8.302543731;0.469608807;16;2.716075383;1.458912045
Pro.muelleri;6.684765412;0.270000054;45;2.190493633;1.350634129
Pro.muelleri;11.92201339;0.585368231;33;3.14223379;1.634297367
Pro.muelleri;10.67480412;0.548122288;23;2.927788912;1.545045251
Pro.muelleri;13.04813024;0.637484899;46;3.466854141;1.67142671
Pro.muelleri;16.68399343;0.635550871;43;3.536835684;1.745152378
Pro.muelleri;15.36831539;0.58995219;12;3.245598277;1.626273138
Pro.muelleri;10.16791603;0.566012589;35;3.027631284;1.55183239
Pro.muelleri;7.190956049;0.419452145;49;2.549471539;1.409848368
Pro.muelleri;13.87999906;0.593145583;40;3.136731097;1.713223846
Pro.muelleri;29.44245078;0.66936081;30;3.392996765;1.843714941
Pro.muelleri;7.172447464;0.373429968;48;2.446890076;1.422728887
Pro.muelleri;20.67995117;0.613654767;48;3.63553097;1.983965211
Pro.muelleri;28.86285385;0.725826295;36;4.140857366;2.108857045
Pro.muelleri;12.62594027;0.592562135;43;3.328725357;1.662864025
Pro.muelleri;16.6198575;0.638430968;17;3.358318708;1.693449766
Pro.muelleri;21.36207689;0.634608595;15;3.509929222;1.861103242
Pro.muelleri;25.24279119;0.58996574;17;3.536567489;2.001142404
Pro.muelleri;12.40856805;0.579133286;15;3.165420135;1.610690785
Pro.muelleri;9.688276746;0.511815606;22;2.877402913;1.538254535
Pro.muelleri;12.50242972;0.537287903;12;3.141392141;1.641106253
Pro.muelleri;4.870824882;0.174679272;38;1.84923819;1.218380598
Pro.muelleri;11.44593415;0.560650772;31;2.989135756;1.639627861
Pro.muelleri;17.13534782;0.65802506;22;3.895994045;1.780191785
Pro.muelleri;11.70456721;0.569408581;37;3.048597628;1.580159537
Pro.muelleri;11.27648371;0.565063619;38;3.052277418;1.576624613
Pro.muelleri;34.86506842;0.729590378;19;4.139421328;2.251719149
Pro.muelleri;11.14675407;0.562873502;14;3.144512684;1.584694221
Pro.muelleri;6.314913786;0.204115435;19;2.099797238;1.275764822
Pro.muelleri;14.82061922;0.605833017;25;3.281494407;1.663730218
Pro.muelleri;11.88241276;0.559625537;30;3.033742989;1.586351834
Pro.muelleri;17.12558736;0.419609075;38;3.277566596;1.702634815
Pro.muelleri;5.97317972;0.34835206;45;2.338452879;1.344094356
