Taxa;T-index;M-index;Area;pfT-index (C);pfT-index (A);Color
Pro.muelleri;10.55092952;0.591230065;21;35.82902832;9.029015008;#a36b2b
Pro.muelleri;11.54475706;0.600393353;12;37.99782675;9.204484195;#a36b2b
Pro.muelleri;21.4312201;0.67718027;17;55.32190577;12.63532889;#a36b2b
Pro.muelleri;15.98821851;0.592489065;31;38.98055044;12.4345418;#a36b2b
Pro.muelleri;23.41127857;0.719823366;47;56.12890179;14.74250637;#a36b2b
Pro.muelleri;14.79618963;0.573430931;15;39.52178182;11.14325031;#a36b2b
Pro.muelleri;11.90099473;0.579447666;11;33.08501224;10.35777222;#a36b2b
Pro.muelleri;10.60793923;0.535279812;46;32.40255169;8.759655702;#a36b2b
Pro.muelleri;12.39330316;0.575764281;48;34.82642806;10.17749796;#a36b2b
Pro.muelleri;7.676799892;0.459978434;47;25.94660307;7.446530924;#a36b2b
Pro.muelleri;19.41839807;0.607012515;35;50.59650446;12.22434414;#a36b2b
Pro.muelleri;7.859338772;0.4471835;20;26.1725739;7.433305821;#a36b2b
Pro.muelleri;3.647801939;0.175580234;47;11.97428137;5.067588456;#a36b2b
Pro.muelleri;17.07985383;0.614832323;29;50.77760309;11.75463541;#a36b2b
Pro.muelleri;5.027191615;0.356738407;45;16.0367841;6.261302834;#a36b2b
Pro.muelleri;10.9735712;0.578626823;29;33.41135894;9.470213745;#a36b2b
Pro.muelleri;11.56738;0.577382667;29;37.31088522;9.518934877;#a36b2b
Pro.muelleri;11.27139334;0.576586978;17;34.12159961;9.087654781;#a36b2b
Pro.muelleri;10.88890446;0.561362429;45;32.52645194;9.530362335;#a36b2b
Pro.muelleri;12.21763839;0.62652468;49;37.2773404;9.700936047;#a36b2b
Pro.muelleri;10.28795727;0.598798617;26;31.75064056;8.918546348;#a36b2b
Pro.muelleri;10.33070966;0.533800951;13;32.16697871;8.810182405;#a36b2b
Pro.muelleri;11.5445338;0.611601265;42;35.20045264;9.3625077;#a36b2b
Pro.muelleri;48.49494098;0.821664621;26;79.78166614;25.54743149;#a36b2b
Pro.muelleri;11.40580632;0.666589731;22;36.99935355;9.578587453;#a36b2b
Pro.muelleri;5.073780585;0.35436609;47;16.40751941;6.229580693;#a36b2b
Pro.muelleri;14.25855778;0.652648914;38;49.32900624;10.45843718;#a36b2b
Pro.muelleri;9.146283106;0.523752293;48;31.13433617;8.179758335;#a36b2b
Pro.muelleri;4.883422445;0.171495656;14;10.73968819;5.763745751;#a36b2b
Pro.muelleri;22.30747989;0.717464385;14;56.41017515;15.32687322;#a36b2b
Pro.muelleri;10.91212842;0.544280729;20;34.59443613;8.817518279;#a36b2b
Pro.muelleri;21.38142074;0.651490642;12;43.38311275;13.12863672;#a36b2b
Pro.muelleri;10.3328025;0.523725856;39;31.20256671;8.598570359;#a36b2b
Pro.muelleri;6.963338258;0.453906126;44;23.51092151;7.150757607;#a36b2b
Pro.muelleri;7.521547295;0.440821733;28;25.12334871;7.280473436;#a36b2b
Pro.muelleri;7.265638444;0.472907776;36;24.33172383;7.306360147;#a36b2b
Pro.muelleri;8.185875684;0.284912008;18;19.12067815;7.586950069;#a36b2b
Pro.muelleri;13.65551382;0.597178173;26;40.15360743;10.2943831;#a36b2b
Pro.muelleri;9.769541697;0.524524107;34;31.82937079;8.465113983;#a36b2b
Pro.muelleri;10.6734551;0.637357787;50;33.89880502;9.325540092;#a36b2b
Pro.muelleri;8.707160648;0.58358761;28;28.22600701;8.317026219;#a36b2b
Pro.muelleri;12.63792663;0.638242255;27;38.56380137;10.25693158;#a36b2b
Pro.muelleri;13.77176454;0.605599064;21;40.16566382;10.51148555;#a36b2b
Pro.muelleri;5.464101963;0.249796705;39;17.79058197;5.970820066;#a36b2b
Pro.muelleri;9.953823578;0.551618058;33;33.85126157;8.52909537;#a36b2b
Pro.muelleri;14.32979069;0.38857707;12;36.06608628;10.46699642;#a36b2b
